key,group,claim,verdict
dalia|S10|w2621,dalia,"Confirm any suspected arrhythmia or significant symptom correlation with a standard 12-lead ECG, as consumer devices alone are insufficient for diagnosis.",SUPPORTED
dalia|S10|w2621,dalia,Monitor the patient if symptoms persist.,UNVERIFIABLE
dalia|S10|w2621,dalia,Review signal quality if symptoms persist.,UNVERIFIABLE
dalia|S10|w2621,dalia,This tool is a research decision-support tool and not a diagnostic device.,UNVERIFIABLE
dalia|S10|w2621,dalia,This tool does not replace clinical judgment.,SUPPORTED
dalia|S12|w3194,dalia,Abrupt high-amplitude signals in wrist-worn EDA data likely represent motion artifacts or sensor noise rather than true physiological stress.,UNVERIFIABLE
dalia|S12|w3194,dalia,Wrist-worn electrodermal activity (EDA) is known to be inaccurate and prone to artifacts during physical activity.,SUPPORTED
dalia|S12|w3194,dalia,Simultaneously reduced skin temperature may reflect ambient cooling or vasoconstriction due to movement.,UNVERIFIABLE
dalia|S12|w3194,dalia,Skin temperature varies widely based on the type of activity performed by the subject.,SUPPORTED
dalia|S12|w3194,dalia,Reduced skin temperature variations are not solely indicative of stress but depend heavily on activity type and ambient conditions.,SUPPORTED
dalia|S12|w3194,dalia,EDA peaks in wristband data collection can be affected by artifacts.,SUPPORTED
dalia|S12|w3194,dalia,"In some subjects, wrist-worn sensor signals cannot be captured or are inaccurate due to motion.",UNVERIFIABLE
dalia|S12|w3194,dalia,Skin blood flow changes cause skin temperature variations based on activity type and ambient temperature.,SUPPORTED
dalia|S12|w3194,dalia,High-amplitude EDA spikes occurring during movement should be treated as artifacts rather than stress responses.,UNVERIFIABLE
dalia|S12|w3194,dalia,Temperature spikes occurring during movement should be treated as artifacts rather than physiological stress indicators.,UNVERIFIABLE
dalia|S12|w3194,dalia,Accelerometer data can be used to cross-reference with EDA signals to confirm sensor noise caused by motion.,UNVERIFIABLE
dalia|S12|w3194,dalia,Visual confirmation of movement is a method to verify that high-amplitude signal changes are due to artifact.,UNVERIFIABLE
dalia|S13|w3476,dalia,The detected pattern suggests a sudden increase in breathing rate.,UNVERIFIABLE
dalia|S13|w3476,dalia,The detected pattern shows reduced skin temperature.,UNVERIFIABLE
dalia|S13|w3476,dalia,A sudden increase in breathing rate may indicate respiratory distress.,SUPPORTED
dalia|S13|w3476,dalia,Reduced skin temperature may indicate an autonomic response to stress or cold.,UNVERIFIABLE
dalia|S13|w3476,dalia,Elevated respiration rates are clinically significant for detecting tachypnea.,SUPPORTED
dalia|S13|w3476,dalia,Elevated respiration rates are clinically significant for detecting potential hypoxemia.,UNVERIFIABLE
dalia|S13|w3476,dalia,Reference [PMC13212801] supports the clinical significance of elevated respiration rates.,UNVERIFIABLE
dalia|S13|w3476,dalia,Reduced wrist temperature can reflect changes in thermal perfusion.,UNVERIFIABLE
dalia|S13|w3476,dalia,Reduced wrist temperature can reflect changes in vasomotor tone.,UNVERIFIABLE
dalia|S13|w3476,dalia,Changes in thermal perfusion or vasomotor tone are often seen during physiological arousal.,SUPPORTED
dalia|S13|w3476,dalia,Changes in thermal perfusion or vasomotor tone are often seen during cold exposure.,UNVERIFIABLE
dalia|S13|w3476,dalia,Ambient sensor effects must be considered when interpreting skin temperature data from wearables.,UNVERIFIABLE
dalia|S13|w3476,dalia,Verification of the patient's breathing rate is recommended.,SUPPORTED
dalia|S13|w3476,dalia,Verification of the patient's oxygen saturation is recommended.,SUPPORTED
dalia|S13|w3476,dalia,Checking for environmental factors like low room temperature is recommended.,UNVERIFIABLE
dalia|S13|w3476,dalia,Low room temperature can cause vasoconstriction.,UNVERIFIABLE
dalia|S13|w3476,dalia,Vasoconstriction caused by low room temperature can lower wrist temperature.,UNVERIFIABLE
dalia|S13|w3476,dalia,Initiating standard respiratory assessment protocols is recommended if tachypnea persists or hypoxemia is suspected.,UNVERIFIABLE
dalia|S13|w3476,dalia,Reference [PMC13212801] supports initiating standard respiratory assessment protocols for persistent tachypnea or suspected hypoxemia.,UNVERIFIABLE
dalia|S13|w3476,dalia,The tool is a research decision-support tool.,UNVERIFIABLE
dalia|S13|w3476,dalia,The tool is not a diagnostic device.,UNVERIFIABLE
dalia|S13|w3476,dalia,The tool does not replace clinical judgment.,SUPPORTED
dalia|S5|w1381,dalia,The detected anomaly suggests a potential motion artifact or sensor displacement rather than true physiological change.,SUPPORTED
dalia|S5|w1381,dalia,An abrupt high-amplitude PPG pattern indicates the presence of an artifact.,UNVERIFIABLE
dalia|S5|w1381,dalia,Elevated skin temperature is present in this context.,UNVERIFIABLE
dalia|S5|w1381,dalia,Wrist photoplethysmogram (PPG) signals are highly susceptible to noise which can reduce accuracy.,SUPPORTED
dalia|S5|w1381,dalia,Signal quality is significantly lower when standing with arms hanging compared to supine or sitting positions [PMC12204546].,SUPPORTED
dalia|S5|w1381,dalia,Abrupt high-amplitude patterns often indicate motion artifact rather than true perfusion changes.,UNVERIFIABLE
dalia|S5|w1381,dalia,Elevated kurtosis often indicates motion artifact rather than true perfusion changes.,UNVERIFIABLE
dalia|S5|w1381,dalia,PPG devices rely on stable sensor contact for accurate waveform analysis.,SUPPORTED
dalia|S5|w1381,dalia,The recommendation is to verify patient position (supine/sitting vs standing).,SUPPORTED
dalia|S5|w1381,dalia,The recommendation includes checking for movement or loose fit causing signal noise before interpreting the elevated heart rate or temperature spike as a clinical event.,UNVERIFIABLE
dalia|S5|w1381,dalia,Data should be re-acquired if motion is suspected [PMC12204546].,SUPPORTED
dalia|S5|w1381,dalia,This tool functions as a research decision-support tool.,UNVERIFIABLE
dalia|S5|w1381,dalia,The tool is not a diagnostic device.,UNVERIFIABLE
dalia|S5|w1381,dalia,The tool does not replace clinical judgment.,SUPPORTED
dalia|S5|w1278,dalia,The detected anomaly suggests a potential artifact caused by wrist sweat (high EDA) degrading the PPG signal quality.,UNVERIFIABLE
dalia|S5|w1278,dalia,Motion interference is also contributing to the degradation of the PPG signal quality in this case.,UNVERIFIABLE
dalia|S5|w1278,dalia,High EDA and motion interference are causing issues rather than indicating true cardiac pathology like atrial fibrillation.,UNVERIFIABLE
dalia|S5|w1278,dalia,"Research indicates that parasympathetic-sensitive metrics derived from wrist-worn PPG, such as RMSSD and HF power, often suffer systematic overestimation or bias even with advanced processing methods.",SUPPORTED
dalia|S5|w1278,dalia,Wearable ECG devices show high diagnostic accuracy for atrial fibrillation in supervised settings.,SUPPORTED
dalia|S5|w1278,dalia,Algorithm limitations can lead to inconclusive recordings during dynamic conditions.,SUPPORTED
dalia|S5|w1278,dalia,The patient's current activity level may explain the signal deviation.,UNVERIFIABLE
dalia|S5|w1278,dalia,"Skin condition, such as sweating, may explain the signal deviation.",UNVERIFIABLE
dalia|S5|w1278,dalia,Re-evaluation after ensuring a dry sensor contact is recommended.,UNVERIFIABLE
dalia|S5|w1278,dalia,Ensuring stable sensor contact is recommended to distinguish between physiological stress responses and technical artifacts.,UNVERIFIABLE
dalia|S5|w1278,dalia,This tool is a research decision-support tool.,UNVERIFIABLE
dalia|S5|w1278,dalia,This tool is not a diagnostic device.,UNVERIFIABLE
dalia|S5|w1278,dalia,This tool does not replace clinical judgment.,SUPPORTED
dalia|S12|w3220,dalia,The sustained elevation in wrist electrodermal activity (EDA) has a z-score of +3.3.,UNVERIFIABLE
dalia|S12|w3220,dalia,A z-score of +3.3 for EDA indicates significant sympathetic arousal or stress response.,UNVERIFIABLE
dalia|S12|w3220,dalia,Elevated blood volume pulse (BVP) suggests increased perfusion.,UNVERIFIABLE
dalia|S12|w3220,dalia,This pattern may reflect a physiological reaction rather than device error.,UNVERIFIABLE
dalia|S12|w3220,dalia,Wrist-worn photoplethysmography (PPG) signals are prone to errors.,SUPPORTED
dalia|S12|w3220,dalia,Wrist PPG shows larger estimation errors compared to facial sites.,UNVERIFIABLE
dalia|S12|w3220,dalia,Motion artifacts can cause errors in wrist PPG signals.,SUPPORTED
dalia|S12|w3220,dalia,Missed pulse peaks can alter signal baselines in wrist PPG.,SUPPORTED
dalia|S12|w3220,dalia,Signal quality assessment and reconstruction steps are recommended for wrist PPG.,SUPPORTED
dalia|S12|w3220,dalia,These steps aim to improve agreement with ground truth ECG data.,SUPPORTED
dalia|S12|w3220,dalia,Parasympathetic metrics like RMSSD remain difficult to recover accurately from wrist PPG.,UNVERIFIABLE
dalia|S12|w3220,dalia,Wearable devices have high diagnostic accuracy for arrhythmias.,SUPPORTED
dalia|S12|w3220,dalia,Careful interpretation of signal quality and context is required when using wearable devices.,SUPPORTED
dalia|S12|w3220,dalia,The tool should verify if the patient is experiencing stress or physical activity that could explain elevated EDA.,UNVERIFIABLE
dalia|S12|w3220,dalia,Recent motion logs should be reviewed for potential artifacts affecting PPG baseline stability.,UNVERIFIABLE
dalia|S12|w3220,dalia,A 12-lead ECG should be correlated with wrist data if clinical concern persists to rule out arrhythmia.,UNVERIFIABLE
dalia|S12|w3220,dalia,The tool is a research decision-support tool.,UNVERIFIABLE
dalia|S12|w3220,dalia,The tool is not a diagnostic device.,UNVERIFIABLE
dalia|S12|w3220,dalia,The tool does not replace clinical judgment.,SUPPORTED
dalia|S10|w2756,dalia,"The wrist signal shows an abrupt, high-amplitude pattern.",UNVERIFIABLE
dalia|S10|w2756,dalia,This pattern likely represents a motion artifact or poor sensor contact rather than a physiological event.,SUPPORTED
dalia|S10|w2756,dalia,Wrist photoplethysmogram (PPG) signals are highly susceptible to noise.,SUPPORTED
dalia|S10|w2756,dalia,PPG signals can be influenced by posture.,SUPPORTED
dalia|S10|w2756,dalia,Signal quality is lowest when standing with arms hanging alongside compared to supine positions [PMC12204546].,SUPPORTED
dalia|S10|w2756,dalia,PPG-based devices may produce inconclusive recordings due to algorithm limitations or motion artifacts that require verification via traditional ECG methods [PMC12731301].,SUPPORTED
dalia|S10|w2756,dalia,The recommendation is to verify the patient's position and ensure proper sensor contact.,SUPPORTED
dalia|S10|w2756,dalia,It is recommended to re-acquire data in a supine posture if possible.,SUPPORTED
dalia|S10|w2756,dalia,Correlation with clinical assessment for signs of arrhythmia should occur before acting on PPG-only alerts.,SUPPORTED
dalia|S10|w2756,dalia,This tool is a research decision-support tool.,UNVERIFIABLE
dalia|S10|w2756,dalia,This tool is not a diagnostic device.,UNVERIFIABLE
dalia|S10|w2756,dalia,This tool does not replace clinical judgment.,SUPPORTED
dalia|S14|w3815,dalia,The detected signal shows an abrupt onset and high amplitude on the ECG trace.,UNVERIFIABLE
dalia|S14|w3815,dalia,Respiration rates are significantly reduced during the event.,UNVERIFIABLE
dalia|S14|w3815,dalia,These findings suggest a potential arrhythmia such as atrial fibrillation or tachycardia.,SUPPORTED
dalia|S14|w3815,dalia,Clinical confirmation is required for these suspected events.,SUPPORTED
dalia|S14|w3815,dalia,Wearable devices can detect atrial fibrillation and other rhythms.,SUPPORTED
dalia|S14|w3815,dalia,Diagnosis requires comparison with 12-lead ECG data [PMC12731301].,UNVERIFIABLE
dalia|S14|w3815,dalia,Abnormal readings from consumer heart rate monitors require critical evaluation by an experienced physician [ehra2022_digital_devices_arrhythmias].,UNVERIFIABLE
dalia|S14|w3815,dalia,Abnormal cardiac evaluations mandate ECG confirmation rather than reliance on the device alone [ehra2022_digital_devices_arrhythmias].,SUPPORTED
dalia|S14|w3815,dalia,The patient should undergo a standard 12-lead ECG to confirm or rule out arrhythmia.,SUPPORTED
dalia|S14|w3815,dalia,Further evaluation is necessary if symptoms like palpitations are present before assuming benign causes.,UNVERIFIABLE
dalia|S14|w3815,dalia,This tool functions as research decision-support software.,UNVERIFIABLE
dalia|S14|w3815,dalia,This tool is not a diagnostic device.,UNVERIFIABLE
dalia|S14|w3815,dalia,This tool does not replace clinical judgment.,SUPPORTED
dalia|S14|w3788,dalia,The detected pattern suggests acute sympathetic arousal.,UNVERIFIABLE
dalia|S14|w3788,dalia,Acute sympathetic arousal likely indicates physiological stress or high engagement rather than pathology.,UNVERIFIABLE
dalia|S14|w3788,dalia,Multimodal systems combine EDA (sweat response) and respiration to detect sympathetic nervous system activation during cognitive tasks [PMC12987280].,SUPPORTED
dalia|S14|w3788,dalia,Elevated wrist_EDA indexes sympathetic activation [PMC12608435].,UNVERIFIABLE
dalia|S14|w3788,dalia,Concurrent changes in heart rate variability reflect autonomic flexibility or reduced parasympathetic control under load [PMC12987280].,UNVERIFIABLE
dalia|S14|w3788,dalia,These signals index arousal and regulatory processes rather than specific emotional states like stress [PMC12987280].,UNVERIFIABLE
dalia|S14|w3788,dalia,"Elevated activity can arise from excitement, engagement, or novelty detection [PMC12987280].",UNVERIFIABLE
dalia|S14|w3788,dalia,"The recommendation is to correlate the physiological spike with current user context (e.g., gaming level, conversation).",SUPPORTED
dalia|S14|w3788,dalia,Correlating with context helps distinguish between pathological tachypnea and normal arousal.,UNVERIFIABLE
dalia|S14|w3788,dalia,"EDA/HRV should not be interpreted alone as a direct proxy for ""stress"" without behavioral or contextual data [PMC12987280].",UNVERIFIABLE
dalia|S14|w3788,dalia,The tool is a research decision-support tool.,UNVERIFIABLE
dalia|S14|w3788,dalia,The tool is not a diagnostic device.,UNVERIFIABLE
dalia|S14|w3788,dalia,The tool does not replace clinical judgment.,UNVERIFIABLE
dalia|S5|w1312,dalia,The detected pattern suggests mild sympathetic arousal relative to the user's baseline.,UNVERIFIABLE
dalia|S5|w1312,dalia,The detected pattern indicates thermal stress relative to the user's baseline.,UNVERIFIABLE
dalia|S5|w1312,dalia,Skin temperature is slightly elevated compared to the baseline.,UNVERIFIABLE
dalia|S5|w1312,dalia,Electrodermal activity (EDA) is reduced compared to the baseline.,UNVERIFIABLE
dalia|S5|w1312,dalia,Skin temperature sensors provide insight into peripheral thermal regulation during emotional elicitation.,SUPPORTED
dalia|S5|w1312,dalia,Electrodermal activity reflects skin conductance changes associated with sympathetic nervous system activity.,SUPPORTED
dalia|S5|w1312,dalia,Wrist-worn devices are challenging sites for accurate signal estimation compared to finger placement.,UNVERIFIABLE
dalia|S5|w1312,dalia,Inaccurate signal estimation at the wrist may affect baseline stability.,SUPPORTED
dalia|S5|w1312,dalia,Ambient temperature changes can influence wrist sensor readings.,SUPPORTED
dalia|S5|w1312,dalia,Ambient temperature changes can influence EDA baselines.,UNVERIFIABLE
dalia|S5|w1312,dalia,Device fit should be verified.,UNVERIFIABLE
dalia|S5|w1312,dalia,Skin contact integrity should be verified.,UNVERIFIABLE
dalia|S5|w1312,dalia,The tool is a research decision-support tool.,UNVERIFIABLE
dalia|S5|w1312,dalia,The tool is not a diagnostic device.,UNVERIFIABLE
dalia|S5|w1312,dalia,The tool does not replace clinical judgment.,UNVERIFIABLE
dalia|S3|w820,dalia,The detected pattern is abrupt and high-amplitude.,UNVERIFIABLE
dalia|S3|w820,dalia,"An abrupt, high-amplitude pattern suggests a potential motion artifact or signal quality issue rather than atrial fibrillation.",UNVERIFIABLE
dalia|S3|w820,dalia,PPG signals are highly susceptible to noise.,SUPPORTED
dalia|S3|w820,dalia,Noise in PPG signals can reduce the accuracy of monitored parameters.,SUPPORTED
dalia|S3|w820,dalia,Signal quality is influenced by posture and arm position.,SUPPORTED
dalia|S3|w820,dalia,Standing postures often yield lower signal quality compared to supine or sitting positions where the arm rests in the lap.,UNVERIFIABLE
dalia|S3|w820,dalia,Wearable devices demonstrate high diagnostic performance for atrial fibrillation detection.,SUPPORTED
dalia|S3|w820,dalia,Inconclusive recordings due to algorithm limitations remain a barrier for wearable device AF detection.,SUPPORTED
dalia|S3|w820,dalia,The patient may have been moving during this window.,UNVERIFIABLE
dalia|S3|w820,dalia,The patient may have changed position during this window.,UNVERIFIABLE
dalia|S3|w820,dalia,Signal quality metrics include the perfusion index.,UNVERIFIABLE
dalia|S3|w820,dalia,Motion can degrade PPG accuracy.,SUPPORTED
dalia|S3|w820,dalia,Elevated heart rate or EDA should be re-evaluated before interpreting them as clinical events if motion is suspected.,SUPPORTED
dalia|S3|w820,dalia,This tool is a research decision-support tool.,UNVERIFIABLE
dalia|S3|w820,dalia,This tool is not a diagnostic device.,UNVERIFIABLE
dalia|S3|w820,dalia,This tool does not replace clinical judgment.,SUPPORTED
dalia|S10|w2570,dalia,The signal shows an abrupt high-amplitude spike.,UNVERIFIABLE
dalia|S10|w2570,dalia,A drop in skin temperature accompanies the signal.,UNVERIFIABLE
dalia|S10|w2570,dalia,Electrodermal Activity (EDA) levels decrease during the event.,UNVERIFIABLE
dalia|S10|w2570,dalia,Reduced perfusion is common during movement.,UNVERIFIABLE
dalia|S10|w2570,dalia,Literature indicates wristband-based EDA collection has low accuracy.,SUPPORTED
dalia|S10|w2570,dalia,Artifacts can affect data collection results from wristbands.,SUPPORTED
dalia|S10|w2570,dalia,Skin temperature varies based on activity type.,SUPPORTED
dalia|S10|w2570,dalia,Skin temperature varies based on ambient conditions.,SUPPORTED
dalia|S10|w2570,dalia,Changes in skin blood flow cause variations in skin temperature.,SUPPORTED
dalia|S10|w2570,dalia,Accelerometer sensors are used to identify movement types.,SUPPORTED
dalia|S10|w2570,dalia,Signal deviations may be explained by identified movement types.,SUPPORTED
dalia|S10|w2570,dalia,The high-amplitude spike and concurrent temperature drop likely indicate a technical artifact if significant movement is detected.,UNVERIFIABLE
dalia|S10|w2570,dalia,A 30-second window of data can be discarded from analysis based on these findings.,SUPPORTED
dalia|S7|w1804,dalia,The detected pattern shows an abrupt high-amplitude signal change.,UNVERIFIABLE
dalia|S7|w1804,dalia,Respiration is reduced during the event.,UNVERIFIABLE
dalia|S7|w1804,dalia,Blood volume pulse (BVP) is reduced during the event.,UNVERIFIABLE
dalia|S7|w1804,dalia,These findings suggest a potential atrial fibrillation episode or significant signal artifact.,SUPPORTED
dalia|S7|w1804,dalia,PPG-based algorithms can detect AF with sensitivity greater than 95%.,SUPPORTED
dalia|S7|w1804,dalia,False positives may occur due to irregular ectopy in PPG-based detection.,SUPPORTED
dalia|S7|w1804,dalia,Some alerts indicate spontaneous conversion from AF to sinus rhythm.,SUPPORTED
dalia|S7|w1804,dalia,Wearable devices show varying diagnostic accuracy for arrhythmias compared to 12-lead ECG gold standards.,SUPPORTED
dalia|S7|w1804,dalia,Signal quality should be verified when an alert is detected.,UNVERIFIABLE
dalia|S7|w1804,dalia,Patient symptoms should be checked when an alert is detected.,UNVERIFIABLE
dalia|S7|w1804,dalia,A confirmatory 12-lead or Holter ECG should be obtained if clinical suspicion remains after PPG detection of absolute arrhythmia alerts.,UNVERIFIABLE
dalia|S7|w1804,dalia,The tool functions as a research decision-support tool.,SUPPORTED
dalia|S7|w1804,dalia,The tool is not a diagnostic device.,UNVERIFIABLE
dalia|S7|w1804,dalia,The tool does not replace clinical judgment.,SUPPORTED
dalia|S5|w1229,dalia,The detected pattern suggests acute sympathetic arousal.,UNVERIFIABLE
dalia|S5|w1229,dalia,Acute sympathetic arousal likely indicates physiological stress or high engagement rather than respiratory distress like tachypnea.,UNVERIFIABLE
dalia|S5|w1229,dalia,Elevated wrist EDA is a direct index of sympathetic nervous system activation and sweat response [PMC12987280].,UNVERIFIABLE
dalia|S5|w1229,dalia,Multimodal systems combining EDA with other signals improve accuracy by distinguishing between different arousal states [PMC12987280].,UNVERIFIABLE
dalia|S5|w1229,dalia,These measures primarily reflect general arousal rather than specific emotional valence like fear or excitement [PMC12987280].,UNVERIFIABLE
dalia|S5|w1229,dalia,Respiration rate can change during stress [PMC12608435].,SUPPORTED
dalia|S5|w1229,dalia,The dominant signal is electrodermal activity indicating autonomic activation [PMC12608435].,UNVERIFIABLE
dalia|S5|w1229,dalia,"Reviewing recent context (e.g., exercise, gaming) helps determine if arousal reflects a non-stressful state like excitement or novelty detection rather than pathological tachypnea.",SUPPORTED
dalia|S5|w1229,dalia,Monitoring for persistence of elevated EDA beyond the immediate event window is recommended.,UNVERIFIABLE
dalia|S5|w1229,dalia,This tool is research decision-support only and not a diagnostic device.,UNVERIFIABLE
dalia|S5|w1229,dalia,This tool does not replace clinical judgment.,UNVERIFIABLE
dalia|S3|w789,dalia,The anomaly suggests a transient increase in respiratory rate.,UNVERIFIABLE
dalia|S3|w789,dalia,The anomaly suggests a transient increase in skin temperature.,UNVERIFIABLE
dalia|S3|w789,dalia,Elevated respiration rates are recognized markers of physiological response to stimuli such as VR simulations or sleep arousals.,SUPPORTED
dalia|S3|w789,dalia,Skin temperature changes can reflect vasomotor responses associated with these events.,UNVERIFIABLE
dalia|S3|w789,dalia,Wearable devices often detect stress via multimodal fusion of signals like heart rate and respiration rather than single metrics alone.,SUPPORTED
dalia|S12|w3263,dalia,The detected pattern suggests acute sympathetic arousal.,SUPPORTED
dalia|S12|w3263,dalia,The detected pattern suggests a stress response.,SUPPORTED
dalia|S12|w3263,dalia,"Rapid breathing is present, defined as tachypnea.",SUPPORTED
dalia|S12|w3263,dalia,Increased skin conductance is observed.,UNVERIFIABLE
dalia|S12|w3263,dalia,Elevated wrist EDA indicates a sweat response.,UNVERIFIABLE
dalia|S12|w3263,dalia,A sweat response is linked to sympathetic activation [PMC13023499].,UNVERIFIABLE
dalia|S12|w3263,dalia,The respiration z-score is -3.5 relative to baseline.,UNVERIFIABLE
dalia|S12|w3263,dalia,"This reduced respiration z-score aligns with the ""cyclic bradycardia-tachycardia"" pattern.",UNVERIFIABLE
dalia|S12|w3263,dalia,Parasympathetic dominance precedes a sympathetic surge in this pattern [PMC13212801].,SUPPORTED
dalia|S12|w3263,dalia,Rate slowing is observed as part of parasympathetic dominance.,SUPPORTED
dalia|S12|w3263,dalia,Specific respiratory event signatures are present.,SUPPORTED
dalia|S12|w3263,dalia,The recommendation includes monitoring for signs of sleep apnea events.,SUPPORTED
dalia|S12|w3263,dalia,The recommendation includes monitoring for anxiety attacks.,UNVERIFIABLE
dalia|S12|w3263,dalia,The recommendation includes monitoring for physical exertion.,UNVERIFIABLE
dalia|S12|w3263,dalia,Verification is recommended to determine if tachypnea resolves with rest.,UNVERIFIABLE
dalia|S12|w3263,dalia,Clinical evaluation should be sought if symptoms persist or worsen [PMC13212801].,SUPPORTED
dalia|S12|w3263,dalia,Clinical evaluation aims to rule out respiratory distress influences on heart rate.,UNVERIFIABLE
dalia|S12|w3263,dalia,Clinical evaluation aims to rule out cardiac arrhythmia influences on heart rate.,UNVERIFIABLE
dalia|S12|w3263,dalia,The tool is a research decision-support tool.,UNVERIFIABLE
dalia|S12|w3263,dalia,The tool is not a diagnostic device.,UNVERIFIABLE
dalia|S12|w3263,dalia,The tool does not replace clinical judgment.,UNVERIFIABLE
dalia|S14|w3873,dalia,Sustained elevation in blood volume pulse (BVP) suggests a physiological stress response.,UNVERIFIABLE
dalia|S14|w3873,dalia,Elevated wrist electrodermal activity (EDA) suggests a physiological stress response.,UNVERIFIABLE
dalia|S14|w3873,dalia,Physiological stress responses may indicate anxiety or sympathetic arousal rather than simple motion artifact.,SUPPORTED
dalia|S14|w3873,dalia,EDA reflects skin conductance changes from sweat gland activity.,SUPPORTED
dalia|S14|w3873,dalia,Sweat gland activity is modulated by the autonomic nervous system in response to emotional arousal or stress.,SUPPORTED
dalia|S14|w3873,dalia,PPG (photoplethysmography) is prone to motion artifacts.,SUPPORTED
dalia|S14|w3873,dalia,Elevated BVP and concurrent high EDA often correlate with anxiety detection.,UNVERIFIABLE
dalia|S14|w3873,dalia,Multimodal approaches show higher accuracy than single-signal methods for anxiety detection.,SUPPORTED
dalia|S14|w3873,dalia,Symptoms such as palpitations or sweating should be correlated with the signal.,UNVERIFIABLE
dalia|S14|w3873,dalia,Findings should be confirmed with a standard ECG if symptoms are present or persistent.,UNVERIFIABLE
dalia|S14|w3873,dalia,Consumer devices alone are insufficient for definitive arrhythmia diagnosis.,SUPPORTED
dalia|S14|w3873,dalia,The tool is intended to support research decisions rather than serve as a diagnostic device.,UNVERIFIABLE
dalia|S14|w3873,dalia,The tool does not replace clinical judgment.,UNVERIFIABLE
dalia|S14|w3820,dalia,The anomaly suggests mild deviations in ECG and skin temperature.,UNVERIFIABLE
dalia|S14|w3820,dalia,These deviations may indicate early rhythm irregularity or sensor artifacts.,UNVERIFIABLE
dalia|S14|w3820,dalia,Wearable devices show high diagnostic performance for atrial fibrillation.,SUPPORTED
dalia|S14|w3820,dalia,Inaccurate data from poor skin contact can affect wearable device readings.,SUPPORTED
