subject,window_idx,query_v2,flag_if,flag_lof,score_if,score_lof,z_ecg,z_resp,z_bvp,z_wrist_eda,z_wrist_temp,top2
1,297,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated bvp (z=+1.3 vs subject baseline, mean=1.18) reduced wrist_eda (z=-1.1 vs subject baseline, mean=2.25) Relevant topics: photoplethysmography pulse waveform amplitude perfusion signal quality motion artifact atrial fibrillation screening electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, resp mean=-0.01, wrist_temp mean=34.33.",False,True,0.4492,1.3787,-0.075,-0.363,1.274,-1.115,1.073,"bvp,wrist_eda"
2,328,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show a moderate shift from this subject's baseline. reduced wrist_eda (z=-1.4 vs subject baseline, mean=0.44) reduced resp (z=-1.1 vs subject baseline, mean=-0.18) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=0.00, bvp mean=-0.18, wrist_temp mean=32.01.",False,True,0.3963,1.392,0.537,-1.131,-0.61,-1.379,-0.935,"wrist_eda,resp"
2,350,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated resp (z=+2.0 vs subject baseline, mean=0.45) reduced wrist_temp (z=-1.8 vs subject baseline, mean=30.42) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, bvp mean=-0.01, wrist_eda mean=3.12.",False,True,0.4662,1.3443,-0.361,1.95,-0.041,-0.835,-1.841,"resp,wrist_temp"
2,351,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced ecg (z=-2.9 vs subject baseline, mean=-0.00) reduced wrist_temp (z=-2.1 vs subject baseline, mean=29.91) Relevant topics: electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: resp mean=-0.33, bvp mean=-0.11, wrist_eda mean=4.66.",False,True,0.4797,1.3608,-2.879,-1.891,-0.374,-0.522,-2.13,"ecg,wrist_temp"
2,352,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced wrist_temp (z=-2.5 vs subject baseline, mean=29.22) elevated resp (z=+1.4 vs subject baseline, mean=0.33) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=0.00, bvp mean=-0.11, wrist_eda mean=7.29.",True,True,0.5154,1.3723,0.196,1.379,-0.368,0.012,-2.522,"wrist_temp,resp"
2,353,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced wrist_temp (z=-2.8 vs subject baseline, mean=28.78) elevated ecg (z=+1.3 vs subject baseline, mean=0.00) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: resp mean=0.31, bvp mean=0.10, wrist_eda mean=10.08.",True,False,0.5065,1.2706,1.313,1.291,0.311,0.581,-2.774,"wrist_temp,ecg"
2,357,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. reduced wrist_temp (z=-3.2 vs subject baseline, mean=28.08) elevated wrist_eda (z=+1.6 vs subject baseline, mean=15.21) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, resp mean=-0.12, bvp mean=-0.07.",True,False,0.5189,1.0966,0.695,-0.875,-0.252,1.626,-3.177,"wrist_temp,wrist_eda"
2,358,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. reduced wrist_temp (z=-3.1 vs subject baseline, mean=28.16) elevated wrist_eda (z=+1.6 vs subject baseline, mean=15.24) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, resp mean=0.10, bvp mean=0.24.",True,False,0.5165,1.0799,0.688,0.25,0.771,1.631,-3.131,"wrist_temp,wrist_eda"
2,359,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced wrist_temp (z=-3.1 vs subject baseline, mean=28.25) reduced ecg (z=-1.9 vs subject baseline, mean=-0.00) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: resp mean=0.09, bvp mean=-0.48, wrist_eda mean=15.42.",True,False,0.5121,1.1281,-1.932,0.173,-1.607,1.667,-3.08,"wrist_temp,ecg"
2,360,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. reduced wrist_temp (z=-3.0 vs subject baseline, mean=28.33) reduced resp (z=-1.8 vs subject baseline, mean=-0.32) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=0.00, bvp mean=-0.10, wrist_eda mean=15.34.",True,False,0.5039,1.1006,-0.116,-1.823,-0.333,1.652,-3.033,"wrist_temp,resp"
2,363,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced wrist_temp (z=-2.7 vs subject baseline, mean=28.93) elevated wrist_eda (z=+1.6 vs subject baseline, mean=15.31) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, resp mean=0.17, bvp mean=-0.08.",True,False,0.5105,1.2134,0.134,0.583,-0.268,1.646,-2.69,"wrist_temp,wrist_eda"
2,364,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced wrist_temp (z=-2.4 vs subject baseline, mean=29.40) elevated wrist_eda (z=+1.5 vs subject baseline, mean=14.53) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, resp mean=-0.07, bvp mean=0.16.",True,False,0.5009,1.2508,0.742,-0.607,0.509,1.487,-2.421,"wrist_temp,wrist_eda"
2,388,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated bvp (z=+2.9 vs subject baseline, mean=0.89) elevated ecg (z=+2.1 vs subject baseline, mean=0.00) Relevant topics: photoplethysmography pulse waveform amplitude perfusion signal quality motion artifact atrial fibrillation screening electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: resp mean=0.12, wrist_eda mean=9.21, wrist_temp mean=30.52.",True,True,0.4992,1.6046,2.117,0.34,2.946,0.404,-1.782,"bvp,ecg"
2,389,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced bvp (z=-2.0 vs subject baseline, mean=-0.60) elevated wrist_eda (z=+1.6 vs subject baseline, mean=15.32) Relevant topics: photoplethysmography pulse waveform amplitude perfusion signal quality motion artifact atrial fibrillation screening electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, resp mean=0.04, wrist_temp mean=30.78.",True,False,0.505,1.2826,-0.272,-0.076,-2.012,1.647,-1.637,"bvp,wrist_eda"
2,398,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced resp (z=-2.8 vs subject baseline, mean=-0.52) elevated wrist_eda (z=+1.9 vs subject baseline, mean=16.74) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, bvp mean=-0.35, wrist_temp mean=33.36.",True,True,0.5077,1.2913,0.702,-2.82,-1.161,1.936,-0.16,"resp,wrist_eda"
2,399,"Biosignal window flagged by the Isolation Forest anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+3.7 vs subject baseline, mean=25.23) elevated resp (z=+2.7 vs subject baseline, mean=0.60) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=-0.00, bvp mean=0.38, wrist_temp mean=33.19.",True,False,0.5105,1.2017,-0.904,2.714,1.229,3.664,-0.256,"wrist_eda,resp"
2,400,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+4.3 vs subject baseline, mean=28.30) reduced bvp (z=-1.5 vs subject baseline, mean=-0.44) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response photoplethysmography pulse waveform amplitude perfusion signal quality motion artifact atrial fibrillation screening. Other readings: ecg mean=0.00, resp mean=-0.16, wrist_temp mean=33.19.",False,True,0.4866,1.3429,0.293,-1.049,-1.489,4.289,-0.262,"wrist_eda,bvp"
2,401,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. elevated wrist_eda (z=+4.3 vs subject baseline, mean=28.24) reduced ecg (z=-0.9 vs subject baseline, mean=-0.00) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: resp mean=-0.10, bvp mean=0.03, wrist_temp mean=33.41.",False,True,0.4948,1.4793,-0.874,-0.738,0.083,4.276,-0.135,"wrist_eda,ecg"
2,402,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show a sustained level shift from this subject's baseline. elevated wrist_eda (z=+4.3 vs subject baseline, mean=28.46) elevated ecg (z=+1.4 vs subject baseline, mean=0.00) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: resp mean=0.13, bvp mean=-0.12, wrist_temp mean=33.81.",True,True,0.5062,1.4664,1.409,0.39,-0.419,4.32,0.096,"wrist_eda,ecg"
2,403,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show a sustained level shift from this subject's baseline. elevated wrist_eda (z=+4.3 vs subject baseline, mean=28.29) reduced ecg (z=-1.2 vs subject baseline, mean=-0.00) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: resp mean=-0.01, bvp mean=-0.06, wrist_temp mean=34.24.",True,True,0.5063,1.4533,-1.226,-0.306,-0.206,4.286,0.339,"wrist_eda,ecg"
2,404,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. elevated wrist_eda (z=+4.1 vs subject baseline, mean=27.30) elevated ecg (z=+1.3 vs subject baseline, mean=0.00) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: resp mean=-0.21, bvp mean=0.18, wrist_temp mean=34.60.",False,True,0.4708,1.3841,1.302,-1.287,0.575,4.085,0.547,"wrist_eda,ecg"
2,405,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+3.2 vs subject baseline, mean=23.08) elevated resp (z=+2.2 vs subject baseline, mean=0.50) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=-0.00, bvp mean=0.05, wrist_temp mean=34.81.",True,True,0.5446,1.5829,-1.475,2.204,0.154,3.226,0.664,"wrist_eda,resp"
2,406,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+3.1 vs subject baseline, mean=22.28) reduced resp (z=-2.4 vs subject baseline, mean=-0.44) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=0.00, bvp mean=0.08, wrist_temp mean=34.65.",True,True,0.5011,1.3281,0.168,-2.415,0.259,3.062,0.573,"wrist_eda,resp"
2,440,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+3.0 vs subject baseline, mean=22.17) elevated resp (z=+2.5 vs subject baseline, mean=0.56) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=0.00, bvp mean=-0.40, wrist_temp mean=35.05.",False,True,0.4953,1.2998,0.258,2.515,-1.34,3.042,0.8,"wrist_eda,resp"
2,441,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+1.6 vs subject baseline, mean=15.15) elevated ecg (z=+0.8 vs subject baseline, mean=0.00) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: resp mean=0.09, bvp mean=-0.14, wrist_temp mean=34.84.",False,True,0.4495,1.2965,0.831,0.17,-0.482,1.613,0.68,"wrist_eda,ecg"
2,442,"Biosignal window flagged by the LOF anomaly detector. Deviating channels are only mildly unusual vs this subject's baseline. elevated resp (z=+0.9 vs subject baseline, mean=0.23) reduced ecg (z=-0.7 vs subject baseline, mean=0.00) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: bvp mean=-0.05, wrist_eda mean=10.33, wrist_temp mean=34.47.",False,True,0.4364,1.3715,-0.74,0.855,-0.181,0.632,0.474,"resp,ecg"
2,473,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated ecg (z=+1.0 vs subject baseline, mean=0.00) elevated wrist_eda (z=+0.8 vs subject baseline, mean=11.05) Relevant topics: electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: resp mean=-0.04, bvp mean=-0.07, wrist_temp mean=34.67.",False,True,0.4506,1.4931,1.028,-0.459,-0.247,0.779,0.587,"ecg,wrist_eda"
2,490,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated resp (z=+1.1 vs subject baseline, mean=0.28) elevated wrist_temp (z=+1.1 vs subject baseline, mean=35.50) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, bvp mean=-0.02, wrist_eda mean=6.47.",False,True,0.4293,1.378,0.209,1.124,-0.096,-0.153,1.059,"resp,wrist_temp"
2,503,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_temp (z=+1.2 vs subject baseline, mean=35.75) reduced bvp (z=-0.9 vs subject baseline, mean=-0.26) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects photoplethysmography pulse waveform amplitude perfusion signal quality motion artifact atrial fibrillation screening. Other readings: ecg mean=0.00, resp mean=0.11, wrist_eda mean=7.18.",False,True,0.4256,1.4914,0.284,0.304,-0.894,-0.009,1.205,"wrist_temp,bvp"
2,574,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced ecg (z=-3.9 vs subject baseline, mean=-0.00) elevated wrist_temp (z=+0.9 vs subject baseline, mean=35.19) Relevant topics: electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: resp mean=0.03, bvp mean=0.07, wrist_eda mean=4.30.",False,True,0.4059,1.4597,-3.871,-0.133,0.2,-0.594,0.88,"ecg,wrist_temp"
3,581,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced resp (z=-1.7 vs subject baseline, mean=-0.27) reduced wrist_temp (z=-1.1 vs subject baseline, mean=31.39) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, bvp mean=-0.23, wrist_eda mean=0.25.",False,True,0.4229,1.4267,-0.105,-1.693,-0.268,-0.618,-1.091,"resp,wrist_temp"
3,637,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. reduced wrist_temp (z=-1.7 vs subject baseline, mean=30.02) reduced wrist_eda (z=-0.5 vs subject baseline, mean=0.63) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, resp mean=0.06, bvp mean=0.13.",False,True,0.482,1.3775,0.067,0.034,0.151,-0.487,-1.704,"wrist_temp,wrist_eda"
3,685,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. elevated resp (z=+2.1 vs subject baseline, mean=0.46) reduced ecg (z=-1.5 vs subject baseline, mean=-0.00) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: bvp mean=0.18, wrist_eda mean=5.28, wrist_temp mean=34.01.",False,True,0.448,1.354,-1.541,2.091,0.207,1.117,0.092,"resp,ecg"
3,689,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated ecg (z=+3.1 vs subject baseline, mean=0.01) reduced resp (z=-1.9 vs subject baseline, mean=-0.32) Relevant topics: electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: bvp mean=1.21, wrist_eda mean=4.42, wrist_temp mean=34.60.",False,True,0.4303,1.3499,3.078,-1.944,1.39,0.822,0.357,"ecg,resp"
3,711,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced resp (z=-1.1 vs subject baseline, mean=-0.15) elevated wrist_temp (z=+0.9 vs subject baseline, mean=35.86) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, bvp mean=0.21, wrist_eda mean=2.81.",False,True,0.4783,1.3527,-0.259,-1.071,0.247,0.264,0.924,"resp,wrist_temp"
3,788,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced resp (z=-1.8 vs subject baseline, mean=-0.29) elevated wrist_temp (z=+0.8 vs subject baseline, mean=35.62) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, bvp mean=0.14, wrist_eda mean=0.61.",False,True,0.4796,1.5241,0.428,-1.799,0.156,-0.496,0.815,"resp,wrist_temp"
3,789,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated resp (z=+2.1 vs subject baseline, mean=0.46) elevated wrist_temp (z=+0.8 vs subject baseline, mean=35.57) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, bvp mean=-0.65, wrist_eda mean=0.62.",False,True,0.48,1.4357,0.157,2.108,-0.746,-0.492,0.795,"resp,wrist_temp"
3,813,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+0.7 vs subject baseline, mean=3.97) elevated bvp (z=+0.3 vs subject baseline, mean=0.27) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response photoplethysmography pulse waveform amplitude perfusion signal quality motion artifact atrial fibrillation screening. Other readings: ecg mean=0.00, resp mean=0.02, wrist_temp mean=34.49.",False,True,0.4088,1.3911,0.132,-0.187,0.313,0.664,0.309,"wrist_eda,bvp"
